Rounds,GP-AdaFL,FedAvg,DP-FedAvg,Fed+
0,10.2,10.1,9.8,10
5,12.5,10.8,10.5,10
10,20.1,12.1,11.9,11.8
15,28.7,15.6,13.6,14.5
20,37.2,19.2,15.5,17.8
25,45.8,22.3,17.6,28.5
30,55.3,26.1,19.9,32.2
35,71,40.2,22.3,41.1
40,74,48.9,24.8,46.9
45,77,53.8,27.4,52.8
50,80,59.4,31.2,57.4
55,83,63.2,33.5,61.7
60,86,64.5,35.2,66.3
65,89,65.3,39.2,66
70,91,68,43.6,68
75,93,70.2,48.1,70
80,95,72.3,49.2,72
85,96.5,74.2,52.3,74
90,97.3,76.1,56.8,76
95,97.9,78.2,66,78
100,98.2,80.3,68,80
105,98.4,82.1,70,82
110,98.7,84.1,72,84
115,98.8,86,74,86
120,98.9,88.2,76,88
125,99,91,78,90
130,99.1,92.1,80,92
135,99.2,94.2,82,94
140,99.3,96.6,84,96
145,99.4,97.2,86,97
150,99.5,98,88,98
155,99.6,98.3,90,99
160,99.6,98.9,92,99.2
165,99.7,99.1,94,99.1
170,99.7,99.6,96,99.3
175,99.8,99.7,97,99.5
180,99.8,99.8,98,99.4
185,99.9,99.9,99,99.6
190,99.9,99.8,99.5,99.7
195,100,99.9,99.6,99.8
200,100,100,99.7,99.7
